age1,年龄1,Integer,9
realname1,真实姓名1,String,50
appointmenttime1,任职时间1,TimeStamp,6
gender1,性别1,Boolean,1
fractionalline1,身高1,Double,126
length1,长度1,Long,20
studentID1,学号1,UUID,32
happybirthday1,生日1,Date,7
remarksInformation1,备注1,Clob,1024
mepicture1,图片1,LocalFile,1024
age2,年龄2,Integer,9
realname2,真实姓名2,String,50
appointmenttime2,任职时间2,TimeStamp,6
gender2,性别2,Boolean,1
fractionalline2,身高2,Double,126
length2,长度2,Long,20
studentID2,学号2,UUID,32
happybirthday2,生日2,Date,7
remarksInformation2,备注2,Clob,1024
mepicture2,图片2,LocalFile,1024
age3,年龄3,Integer,9
realname3,真实姓名3,String,50
appointmenttime3,任职时间3,TimeStamp,6
gender3,性别3,Boolean,1
fractionalline3,身高3,Double,126
length3,长度3,Long,20
studentID3,学号3,UUID,32
happybirthday3,生日3,Date,7
remarksInformation3,备注3,Clob,1024
mepicture3,图片3,LocalFile,1024
age4,年龄4,Integer,9
realname4,真实姓名4,String,50
appointmenttime4,任职时间4,TimeStamp,6
gender4,性别4,Boolean,1
fractionalline4,身高4,Double,126
length4,长度4,Long,20
studentID4,学号4,UUID,32
happybirthday4,生日4,Date,7
remarksInformation4,备注4,Clob,1024
mepicture4,图片4,LocalFile,1024
age5,年龄5,Integer,9
realname5,真实姓名5,String,50
appointmenttime5,任职时间5,TimeStamp,6
gender5,性别5,Boolean,1
fractionalline5,身高5,Double,126
length5,长度5,Long,20
studentID5,学号5,UUID,32
happybirthday5,生日5,Date,7
remarksInformation5,备注5,Clob,1024
mepicture5,图片5,LocalFile,1024
age6,年龄6,Integer,9
realname6,真实姓名6,String,50
appointmenttime6,任职时间6,TimeStamp,6
gender6,性别6,Boolean,1
fractionalline6,身高6,Double,126
length6,长度6,Long,20
studentID6,学号6,UUID,32
happybirthday6,生日6,Date,7
remarksInformation6,备注6,Clob,1024
mepicture6,图片6,LocalFile,1024
age7,年龄7,Integer,9
realname7,真实姓名7,String,50
appointmenttime7,任职时间7,TimeStamp,6
